Nitrogen,Potassium,Phosphorous,Fertilizer Name
37,0,0,Urea
12,0,36,DAP
7,9,30,"Fourteen-Thirty Five-Fourteen(N,P,K)"
22,0,20,"Twenty Eight-Twenty Eight(N,P,K)"
35,0,0,Urea
12,10,13,"Seventeen-Seventeen-Seventeen(N,P,K)"
9,0,10,"Twenty-Twenty(N,P,K)"
41,0,0,Urea
21,0,18,"Twenty Eight-Twenty Eight(N,P,K)"
9,7,30,"Fourteen-Thirty Five-Fourteen(N,P,K)"
13,0,40,DAP
14,15,12,"Seventeen-Seventeen-Seventeen(N,P,K)"
36,0,0,Urea
24,0,22,"Twenty Eight-Twenty Eight(N,P,K)"
14,0,41,DAP
10,13,14,"Seventeen-Seventeen-Seventeen(N,P,K)"
38,0,0,Urea
21,0,19,"Twenty Eight-Twenty Eight(N,P,K)"
39,0,0,Urea
13,0,36,DAP
10,0,9,"Twenty-Twenty(N,P,K)"
12,14,12,"Seventeen-Seventeen-Seventeen(N,P,K)"
11,0,37,DAP
36,0,0,Urea
13,0,10,"Twenty-Twenty(N,P,K)"
23,0,20,"Twenty Eight-Twenty Eight(N,P,K)"
9,9,29,"Fourteen-Thirty Five-Fourteen(N,P,K)"
38,0,0,Urea
12,0,39,DAP
14,0,13,"Twenty-Twenty(N,P,K)"
24,0,23,"Twenty Eight-Twenty Eight(N,P,K)"
12,0,40,DAP
39,0,0,Urea
7,9,30,"Fourteen-Thirty Five-Fourteen(N,P,K)"
23,0,19,"Twenty Eight-Twenty Eight(N,P,K)"
41,0,0,Urea
8,10,31,"Fourteen-Thirty Five-Fourteen(N,P,K)"
12,0,41,DAP
15,14,11,"Seventeen-Seventeen-Seventeen(N,P,K)"
15,0,37,DAP
13,0,13,"Twenty-Twenty(N,P,K)"
10,7,32,"Fourteen-Thirty Five-Fourteen(N,P,K)"
22,0,24,"Twenty Eight-Twenty Eight(N,P,K)"
35,0,0,Urea
10,0,35,DAP
8,8,28,"Fourteen-Thirty Five-Fourteen(N,P,K)"
12,0,8,"Twenty-Twenty(N,P,K)"
24,0,18,"Twenty Eight-Twenty Eight(N,P,K)"
41,0,0,Urea
5,9,29,"Fourteen-Thirty Five-Fourteen(N,P,K)"
23,0,21,"Twenty Eight-Twenty Eight(N,P,K)"
13,0,14,"Twenty-Twenty(N,P,K)"
40,0,0,Urea
12,0,42,DAP
11,12,15,"Seventeen-Seventeen-Seventeen(N,P,K)"
23,0,24,"Twenty Eight-Twenty Eight(N,P,K)"
38,0,0,Urea
8,0,15,"Twenty-Twenty(N,P,K)"
11,13,15,"Seventeen-Seventeen-Seventeen(N,P,K)"
15,0,37,DAP
36,0,0,Urea
13,0,9,"Twenty-Twenty(N,P,K)"
24,0,20,"Twenty Eight-Twenty Eight(N,P,K)"
5,18,15,"Ten-Twenty Six-Twenty Six(N,P,K)"
37,0,0,Urea
15,0,40,DAP
9,0,13,"Twenty-Twenty(N,P,K)"
8,8,33,"Fourteen-Thirty Five-Fourteen(N,P,K)"
6,19,16,"Ten-Twenty Six-Twenty Six(N,P,K)"
10,0,14,"Twenty-Twenty(N,P,K)"
21,0,23,"Twenty Eight-Twenty Eight(N,P,K)"
39,0,0,Urea
23,0,19,"Twenty Eight-Twenty Eight(N,P,K)"
42,0,0,Urea
13,0,39,DAP
9,10,22,"Fourteen-Thirty Five-Fourteen(N,P,K)"
22,0,21,"Twenty Eight-Twenty Eight(N,P,K)"
10,0,15,"Twenty-Twenty(N,P,K)"
7,16,20,"Ten-Twenty Six-Twenty Six(N,P,K)"
14,0,38,DAP
10,8,29,"Fourteen-Thirty Five-Fourteen(N,P,K)"
41,0,0,Urea
14,0,35,DAP
11,0,9,"Twenty-Twenty(N,P,K)"
21,0,28,"Twenty Eight-Twenty Eight(N,P,K)"
8,7,31,"Fourteen-Thirty Five-Fourteen(N,P,K)"
13,17,16,"Ten-Twenty Six-Twenty Six(N,P,K)"
35,0,0,Urea
12,18,19,"Ten-Twenty Six-Twenty Six(N,P,K)"
11,0,38,DAP
8,9,30,"Fourteen-Thirty Five-Fourteen(N,P,K)"
6,19,21,"Ten-Twenty Six-Twenty Six(N,P,K)"
41,0,0,Urea
9,10,30,"Fourteen-Thirty Five-Fourteen(N,P,K)"
24,0,19,"Twenty Eight-Twenty Eight(N,P,K)"
4,17,17,"Ten-Twenty Six-Twenty Six(N,P,K)"
39,0,0,Urea
15,0,41,DAP
12,0,10,"Twenty-Twenty(N,P,K)"
